,Coin,Market,Total_Supply
0,Bitcoin,Binance,21000000
1,Bitcoin,Huobi Global,21000000
2,Bitcoin,Coinbase Exchange,21000000
3,Bitcoin,FTX,21000000
4,Bitcoin,Binance,21000000
5,Bitcoin,Binance,21000000
6,Bitcoin,KuCoin,21000000
7,Bitcoin,Bitfinex,21000000
8,Bitcoin,Gate.io,21000000
9,Bitcoin,FTX,21000000
10,Bitcoin,Kraken,21000000
11,Bitcoin,Binance,21000000
12,Bitcoin,Bithumb,21000000
13,Bitcoin,bitFlyer,21000000
14,Bitcoin,Binance,21000000
15,Bitcoin,Kraken,21000000
16,Bitcoin,Coincheck,21000000
17,Bitcoin,Bitstamp,21000000
18,Bitcoin,Liquid,21000000
19,Bitcoin,Binance,21000000
20,Bitcoin,Binance,21000000
21,Bitcoin,Huobi Global,21000000
22,Bitcoin,Binance,21000000
23,Bitcoin,FTX US,21000000
24,Bitcoin,Binance,21000000
25,Bitcoin,Coinbase Exchange,21000000
26,Bitcoin,Binance.US,21000000
27,Bitcoin,Binance,21000000
28,Bitcoin,Coinbase Exchange,21000000
29,Bitcoin,Binance,21000000
30,Bitcoin,FTX,21000000
31,Bitcoin,Bitstamp,21000000
32,Bitcoin,Gate.io,21000000
33,Bitcoin,Bitfinex,21000000
34,Bitcoin,FTX US,21000000
35,Bitcoin,Binance,21000000
36,Bitcoin,Binance,21000000
37,Bitcoin,Coinbase Exchange,21000000
38,Bitcoin,Binance,21000000
39,Bitcoin,Coinbase Exchange,21000000
40,Bitcoin,Binance,21000000
41,Bitcoin,Binance,21000000
42,Bitcoin,KuCoin,21000000
43,Bitcoin,Coinbase Exchange,21000000
44,Bitcoin,Binance,21000000
45,Bitcoin,FTX,21000000
46,Bitcoin,Binance,21000000
47,Bitcoin,Binance,21000000
48,Bitcoin,Binance,21000000
49,Bitcoin,Kraken,21000000
50,Bitcoin,Binance,21000000
51,Bitcoin,Coinbase Exchange,21000000
52,Bitcoin,Binance,21000000
53,Bitcoin,Binance,21000000
54,Bitcoin,Poloniex,21000000
55,Bitcoin,Huobi Global,21000000
56,Bitcoin,Binance,21000000
57,Bitcoin,Binance,21000000
58,Bitcoin,Kraken,21000000
59,Bitcoin,Bitfinex,21000000
60,Bitcoin,Coinbase Exchange,21000000
61,Bitcoin,Binance,21000000
62,Bitcoin,Bitfinex,21000000
63,Bitcoin,Binance,21000000
64,Bitcoin,Huobi Global,21000000
65,Bitcoin,Binance.US,21000000
66,Bitcoin,Binance,21000000
67,Bitcoin,Binance,21000000
68,Bitcoin,Bitfinex,21000000
69,Bitcoin,Binance,21000000
70,Bitcoin,KuCoin,21000000
71,Bitcoin,Binance,21000000
72,Bitcoin,Binance,21000000
73,Bitcoin,Bittrex,21000000
74,Bitcoin,Binance,21000000
